score,k,reviewed,false_acceptances_found,precision_at_k,recall_at_k
risk_cc_only,5,5,2,0.4,0.11764705882352941
risk_cc_only,10,10,4,0.4,0.23529411764705882
risk_cc_only,15,15,8,0.5333333333333333,0.47058823529411764
risk_cc_only,20,20,11,0.55,0.6470588235294118
risk_cc_plus_debt,5,5,2,0.4,0.11764705882352941
risk_cc_plus_debt,10,10,5,0.5,0.29411764705882354
risk_cc_plus_debt,15,15,9,0.6,0.5294117647058824
risk_cc_plus_debt,20,20,13,0.65,0.7647058823529411
risk_audit_weighted,5,5,2,0.4,0.11764705882352941
risk_audit_weighted,10,10,6,0.6,0.35294117647058826
risk_audit_weighted,15,15,9,0.6,0.5294117647058824
risk_audit_weighted,20,20,13,0.65,0.7647058823529411
